corruption_type,level,model,MAE,RMSE,MAPE,MC_std
gaussian,0.0,ARIMA,0.8769213985532505,1.0410699961756804,350.8722967484886,
gaussian,0.0,RNN,0.06023164946112325,0.08599419677694455,34.04831103103375,
gaussian,0.0,LSTM,0.05918965932239385,0.08287466956082483,31.318031353233156,0.030487053096294403
gaussian,0.0,Transformer,0.05994253554004094,0.08238990869326832,30.79608348064954,
gaussian,0.25,ARIMA,0.8769213985532505,1.0410699961756804,350.8722967484886,
gaussian,0.25,RNN,0.1407958136463197,0.17868692555955168,78.01143033571023,
gaussian,0.25,LSTM,0.10777776088739617,0.13799763459955255,56.253744283085496,0.03451237082481384
gaussian,0.25,Transformer,0.09708885424659644,0.12439817607795553,57.298831426801314,
gaussian,0.5,ARIMA,0.8769213985532505,1.0410699961756804,350.8722967484886,
gaussian,0.5,RNN,0.2516406197992025,0.31722510441709756,152.59126605761213,
gaussian,0.5,LSTM,0.1810654180707498,0.2302932258942624,98.91426848316829,0.04240914434194565
gaussian,0.5,Transformer,0.15995491067210135,0.20284653665964883,85.98801686987889,
gaussian,1.0,ARIMA,0.8769213985532505,1.0410699961756804,350.8722967484886,
gaussian,1.0,RNN,0.4629653288379015,0.5800374206235575,264.3787147946121,
gaussian,1.0,LSTM,0.322270925805619,0.4078322297994497,187.86135208732594,0.06114990636706352
gaussian,1.0,Transformer,0.3079266832057072,0.3919095921551799,169.745793071915,
gaussian,2.0,ARIMA,0.8769213985532505,1.0410699961756804,350.8722967484886,
gaussian,2.0,RNN,0.7722970963542505,0.9631191776916396,493.6655429657474,
gaussian,2.0,LSTM,0.5313306288496686,0.670148928180943,310.94264035965807,0.08683266490697861
gaussian,2.0,Transformer,0.6035019051087224,0.76906301522332,391.6194329055596,
point_anomaly,0.0,ARIMA,0.8769213985532505,1.0410699961756804,350.8722967484886,
point_anomaly,0.0,RNN,0.06023164946112325,0.08599419677694455,34.04831103103375,
point_anomaly,0.0,LSTM,0.05918965932239385,0.08287466956082483,31.318031353233156,0.030754512175917625
point_anomaly,0.0,Transformer,0.05994253554004094,0.08238990869326832,30.79608348064954,
point_anomaly,0.01,ARIMA,0.8769213985532505,1.0410699961756804,350.8722967484886,
point_anomaly,0.01,RNN,0.16923006718659594,0.30172736576824105,101.68016680306992,
point_anomaly,0.01,LSTM,0.12201967226592902,0.22712115676080705,60.29785794729452,0.03649846464395523
point_anomaly,0.01,Transformer,0.11155560679818942,0.2142163353969349,56.818469466435396,
point_anomaly,0.05,ARIMA,0.8769213985532505,1.0410699961756804,350.8722967484886,
point_anomaly,0.05,RNN,0.4385724095567464,0.6008922447993396,263.3393349017392,
point_anomaly,0.05,LSTM,0.3000054378360245,0.45642725386754285,165.47774202282315,0.05639994516968727
point_anomaly,0.05,Transformer,0.2864673296693064,0.4609366688208543,170.35515910619975,
point_anomaly,0.1,ARIMA,0.8769213985532505,1.0410699961756804,350.8722967484886,
point_anomaly,0.1,RNN,0.6118309978682348,0.7905726203839991,346.81541060347047,
point_anomaly,0.1,LSTM,0.4537549000715414,0.6251050110146722,249.38233282813437,0.06711108237504959
point_anomaly,0.1,Transformer,0.4638359562738149,0.6591793232297399,263.7830138865203,
point_anomaly,0.2,ARIMA,0.8769213985532505,1.0410699961756804,350.8722967484886,
point_anomaly,0.2,RNN,0.8219033174332233,1.0491235042869684,470.40202787149025,
point_anomaly,0.2,LSTM,0.6893770329525851,0.8882146024156305,415.07531391208505,0.07994140684604645
point_anomaly,0.2,Transformer,0.7321671879494687,0.9518165105362706,455.51666949091833,
